ProblemType:	CARP
NumberNodes:	531
NumberEdges:	780
DepotNodeNumber:	0
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	0	0	1	41	0	0
1	25	4	5	221	0	0
2	38	10	11	215	4088	24
3	39	11	12	484	11225	102
4	48	13	14	79	0	0
5	59	18	19	107	0	0
6	64	15	23	93	408	1
7	66	25	17	90	0	0
8	67	26	27	226	0	0
9	68	21	28	84	1224	2
10	74	27	25	111	0	0
11	75	22	26	213	0	0
12	76	19	16	45	0	0
13	90	32	33	84	204	2
14	91	34	35	121	2179	14
15	94	37	38	105	0	0
16	95	39	40	6	0	0
17	100	41	42	284	0	0
18	105	36	43	24	0	0
19	109	45	46	108	0	0
20	110	47	45	145	0	0
21	111	48	49	71	1078	6
22	112	48	50	98	1826	9
23	113	50	51	88	1793	10
24	114	52	48	67	0	0
25	115	53	51	257	10467	56
26	116	54	55	97	0	0
27	117	56	54	96	0	0
28	121	60	59	28	0	0
29	122	61	60	93	0	0
30	123	62	63	122	0	0
31	124	64	63	107	0	0
32	125	65	66	111	1852	11
33	126	66	67	91	466	4
34	127	68	66	128	2754	9
35	128	66	69	74	1151	6
36	129	69	70	85	1036	8
37	132	72	73	182	5036	31
38	133	72	74	22	0	0
39	134	75	76	26	0	0
40	135	77	78	40	0	0
41	136	79	75	97	612	4
42	137	76	77	102	1873	12
43	138	80	81	228	7619	48
44	139	82	83	197	0	0
45	142	41	85	11	0	0
46	143	86	87	133	0	0
47	147	29	89	66	0	0
48	148	90	91	72	0	0
49	149	92	93	16	0	0
50	150	94	95	47	0	0
51	151	88	96	93	0	0
52	153	85	98	92	0	0
53	154	91	99	88	0	0
54	155	95	93	56	0	0
55	156	90	100	9	0	0
56	157	98	97	81	0	0
57	158	101	86	143	0	0
58	159	101	84	34	0	0
59	160	94	96	16	0	0
60	161	92	100	53	0	0
61	162	99	41	65	0	0
62	164	102	103	91	0	0
63	170	103	104	101	0	0
64	172	105	104	144	204	2
65	173	106	107	83	0	0
66	174	85	13	154	1792	8
67	175	14	108	118	0	0
68	176	108	34	71	862	4
69	177	107	105	57	0	0
70	178	109	106	204	0	0
71	179	34	109	139	0	0
72	188	112	113	17	0	0
73	189	114	110	77	0	0
74	190	115	116	125	0	0
75	191	115	112	21	0	0
76	192	110	112	60	0	0
77	194	117	118	175	6880	29
78	195	119	120	37	437	3
79	196	121	122	176	6059	37
80	197	122	81	157	5222	35
81	198	123	124	69	1224	6
82	200	126	127	10	0	0
83	203	128	129	84	0	0
84	204	130	131	96	3051	24
85	206	131	132	26	0	0
86	207	101	133	60	0	0
87	208	133	134	90	204	2
88	211	135	136	112	0	0
89	215	137	138	188	7402	44
90	216	139	138	13	0	0
91	217	140	141	112	510	2
92	222	142	143	238	4835	31
93	225	144	145	356	10135	101
94	231	146	147	23	466	4
95	232	148	146	105	2524	18
96	233	149	150	213	9391	65
97	234	151	152	79	4908	32
98	235	153	154	46	2668	16
99	236	155	156	213	2455	13
100	237	157	158	273	204	2
101	238	159	19	183	0	0
102	245	160	161	131	0	0
103	246	162	163	129	714	3
104	247	12	164	19	466	4
105	248	165	10	57	510	2
106	250	166	167	120	2098	11
107	251	168	169	105	0	0
108	254	170	168	117	0	0
109	255	169	114	28	0	0
110	256	171	172	132	612	4
111	257	173	174	32	0	0
112	258	175	176	51	0	0
113	259	175	172	24	0	0
114	262	177	178	76	0	0
115	263	179	171	46	0	0
116	264	176	173	60	0	0
117	265	174	177	70	0	0
118	266	178	180	95	0	0
119	267	100	181	228	476	1
120	268	181	179	116	0	0
121	270	183	184	109	0	0
122	271	185	186	35	204	2
123	273	187	104	505	0	0
124	274	31	47	21	0	0
125	277	52	183	44	0	0
126	278	87	170	92	0	0
127	281	182	185	29	0	0
128	283	189	47	69	0	0
129	284	31	190	55	0	0
130	286	170	61	112	0	0
131	287	186	187	26	0	0
132	291	61	52	59	0	0
133	294	178	191	81	0	0
134	295	191	192	35	510	2
135	299	191	194	59	466	4
136	300	193	178	101	0	0
137	301	194	107	145	0	0
138	304	195	196	59	0	0
139	305	197	198	35	0	0
140	307	196	109	185	0	0
141	308	199	109	88	612	3
142	309	175	198	101	0	0
143	310	200	201	120	3191	16
144	311	202	203	109	2320	16
145	312	204	205	122	1308	10
146	314	206	207	116	4869	25
147	316	208	209	226	7080	34
148	317	210	208	65	408	2
149	318	211	212	203	10982	95
150	319	212	210	252	7177	46
151	320	213	214	254	0	0
152	323	215	216	109	0	0
153	324	217	218	109	0	0
154	326	219	220	76	0	0
155	328	221	222	225	0	0
156	329	189	223	242	0	0
157	335	224	113	261	0	0
158	336	225	224	90	680	1
159	337	113	115	16	0	0
160	338	183	225	110	0	0
161	340	59	168	96	0	0
162	342	226	114	86	0	0
163	347	227	228	96	2397	13
164	348	229	230	138	782	3
165	350	231	232	221	7385	36
166	351	233	234	427	4538	21
167	352	235	236	424	408	4
168	353	237	238	134	0	0
169	354	133	239	163	3842	16
170	355	240	93	221	5418	32
171	356	241	90	238	1355	5
172	357	242	91	253	561	3
173	358	243	99	271	0	0
174	359	244	98	307	561	3
175	362	245	54	205	0	0
176	363	84	246	148	0	0
177	364	247	248	68	238	1
178	365	98	249	152	0	0
179	366	250	251	50	2966	15
180	367	197	199	81	0	0
181	369	252	32	65	0	0
182	371	253	252	25	0	0
183	379	55	255	128	0	0
184	381	254	240	82	0	0
185	382	256	243	67	0	0
186	383	244	235	25	0	0
187	384	233	257	46	0	0
