ProblemType:	CARP
NumberNodes:	770
NumberEdges:	1077
DepotNodeNumber:	0
NumberOfFractions:	1
NumberOfIntervalsForFraction	Paper	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	0	0	1	41	0	0
1	11	5	6	54	0	0
2	12	7	8	204	2040	4
3	13	7	9	10	0	0
4	14	9	6	10	0	0
5	16	10	11	181	3060	6
6	20	12	13	122	3570	7
7	21	14	15	33	816	4
8	25	16	17	55	3570	7
9	26	18	16	50	0	0
10	27	19	20	174	2550	5
11	28	21	19	99	2040	4
12	29	19	22	35	1020	2
13	30	23	24	119	2754	6
14	31	25	23	55	0	0
15	32	23	26	141	0	0
16	38	27	28	215	918	6
17	39	28	29	484	867	8
18	48	30	31	79	561	2
19	52	34	35	152	2550	5
20	53	36	37	98	1020	2
21	54	38	39	86	0	0
22	57	40	34	61	0	0
23	58	41	37	119	510	1
24	59	42	43	107	1020	2
25	60	39	44	63	0	0
26	61	45	40	166	2958	7
27	62	44	46	23	0	0
28	63	47	48	79	0	0
29	65	49	50	140	3616	13
30	66	51	41	90	1020	2
31	67	52	53	226	510	1
32	68	46	54	84	918	3
33	69	50	45	153	3264	7
34	70	37	49	111	2040	4
35	71	55	56	69	0	0
36	72	56	47	6	0	0
37	73	54	55	22	1020	2
38	74	53	51	111	3468	8
39	75	48	52	213	2040	4
40	76	43	38	45	0	0
41	77	57	58	75	0	0
42	78	59	60	147	0	0
43	81	61	62	58	0	0
44	82	63	64	55	1020	2
45	83	65	64	62	1530	3
46	84	66	67	19	3733	12
47	85	64	66	57	0	0
48	86	68	62	56	0	0
49	87	67	68	9	0	0
50	89	69	61	194	204	1
51	90	70	71	84	1530	3
52	91	72	73	121	153	3
53	92	74	75	47	1122	4
54	93	76	77	98	2040	4
55	94	78	79	105	0	0
56	95	80	81	6	0	0
57	100	82	83	244	3803	13
58	101	84	82	40	0	0
59	103	85	86	110	2448	6
60	105	76	87	24	0	0
61	106	88	89	104	1020	2
62	107	89	76	56	510	1
63	108	90	89	71	0	0
64	109	91	92	108	510	1
65	110	93	91	145	2754	6
66	111	94	95	71	1530	3
67	112	94	96	98	153	3
68	113	96	97	88	816	7
69	114	98	94	67	1530	3
70	115	99	97	257	306	6
71	116	100	101	97	1020	2
72	117	102	100	96	2346	7
73	118	103	104	150	1428	4
74	119	104	105	85	1530	3
75	121	107	106	28	0	0
76	122	108	107	93	1530	3
77	123	109	110	122	0	0
78	124	111	110	107	816	4
79	126	112	113	91	510	1
80	127	114	112	128	51	1
81	128	112	115	74	102	2
82	129	115	116	85	0	0
83	130	117	118	115	0	0
84	131	119	117	72	4202	9
85	132	120	121	182	1581	4
86	133	120	122	22	0	0
87	134	123	124	26	0	0
88	135	125	126	40	0	0
89	136	127	123	97	102	2
90	137	124	125	102	0	0
91	138	128	129	228	2244	8
92	139	130	131	197	4080	4
93	140	132	133	56	1938	8
94	142	83	134	11	0	0
95	143	135	136	133	2244	5
96	144	59	58	63	0	0
97	145	58	137	43	1020	2
98	146	138	86	30	0	0
99	147	57	139	66	0	0
100	148	140	141	72	0	0
101	149	142	143	16	0	0
102	150	144	145	47	0	0
103	151	138	146	93	2346	7
104	152	147	132	20	0	0
105	153	134	148	92	1530	3
106	154	141	149	88	918	3
107	155	145	143	56	0	0
108	156	140	150	9	0	0
109	157	148	147	81	204	1
110	158	151	135	143	3468	8
111	159	151	133	34	0	0
112	160	144	146	16	0	0
113	161	142	150	53	0	0
114	162	149	83	65	0	0
115	163	86	139	15	0	0
116	164	152	153	91	510	1
117	165	154	155	121	510	1
118	166	155	152	94	510	1
119	167	156	154	104	714	2
120	170	153	157	101	1224	3
121	172	158	157	144	510	1
122	173	159	160	83	204	1
123	174	134	30	154	1581	4
124	175	31	161	118	51	1
125	176	161	72	71	0	0
126	177	160	158	57	408	2
127	178	162	159	204	1938	5
128	179	72	162	139	918	3
129	180	163	157	480	0	0
130	183	164	165	49	1020	2
131	188	168	169	17	0	0
132	189	170	166	77	2754	6
133	190	171	172	125	3573	10
134	191	171	168	21	0	0
135	192	166	168	60	2040	4
136	193	172	173	70	1020	2
137	194	174	175	175	4131	6
138	196	176	177	176	102	2
139	197	177	129	157	1071	3
140	198	178	179	69	102	2
141	199	180	181	219	1020	2
142	200	182	183	10	0	0
143	201	183	181	170	3919	11
144	203	184	185	84	1530	3
145	205	187	188	76	1020	2
146	206	186	187	26	0	0
147	207	151	189	60	2244	5
148	208	189	190	90	612	3
149	211	191	192	56	2040	4
150	212	193	191	56	0	0
151	213	192	194	48	2040	4
152	215	195	196	188	0	0
153	216	197	196	13	0	0
154	217	198	199	112	255	5
155	218	200	201	207	3060	6
156	219	201	202	98	1020	2
157	220	200	203	79	0	0
158	221	204	205	76	1020	2
159	222	206	207	238	1071	3
160	223	208	209	112	0	0
161	224	210	211	133	3514	11
162	225	212	32	356	255	5
163	226	213	214	22	0	0
164	227	214	215	162	4284	5
165	230	216	217	180	3570	7
166	231	218	219	23	0	0
167	232	220	218	105	0	0
168	233	221	222	213	2295	7
169	236	223	224	213	1020	8
170	237	225	226	273	3795	18
171	238	227	43	183	1836	6
172	239	228	229	86	1530	3
173	240	230	228	66	510	1
174	241	231	232	16	0	0
175	242	232	118	102	1020	2
176	244	233	234	142	6120	6
177	245	235	236	131	1071	9
178	246	237	238	129	1122	4
179	247	29	239	19	0	0
180	248	240	27	57	0	0
181	249	241	27	108	4080	4
182	250	242	243	120	641	4
183	251	244	245	105	3060	6
184	252	38	246	27	0	0
185	253	173	246	129	2550	5
186	254	247	244	117	1428	3
