ProblemType:	CARP
NumberNodes:	7983
NumberEdges:	8882
DepotNodeNumber:	458
NumberOfFractions:	1
NumberOfIntervalsForFraction	Paper	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	2	1	2	39	0	0
1	7	6	7	55	0	0
2	11	8	9	44	0	0
3	12	10	11	95	0	0
4	13	11	12	42	0	0
5	16	10	14	17	0	0
6	17	14	15	27	59	1
7	18	16	17	13	0	0
8	21	19	20	670	0	0
9	22	21	22	1567	51	1
10	24	23	24	325	51	1
11	26	24	25	225	0	0
12	39	27	28	107	51	1
13	40	29	30	418	51	1
14	41	30	31	106	51	1
15	46	33	34	296	0	0
16	48	35	36	595	0	0
17	49	35	33	13	0	0
18	51	37	38	266	59	1
19	52	33	39	424	0	0
20	53	40	41	202	0	0
21	56	42	43	31	119	2
22	62	44	45	67	289	3
23	63	45	46	14	59	1
24	65	47	48	31	59	1
25	66	48	49	15	0	0
26	67	50	51	291	616	10
27	68	51	52	63	0	0
28	69	53	54	284	0	0
29	80	55	56	127	51	1
30	92	60	61	55	0	0
31	93	60	62	130	0	0
32	94	63	62	18	0	0
33	95	64	65	142	0	0
34	96	63	64	12	0	0
35	97	66	67	133	0	0
36	98	67	68	172	59	1
37	103	69	70	101	0	0
38	107	71	72	34	238	4
39	108	73	74	44	119	2
40	109	75	73	87	178	3
41	111	76	77	68	297	5
42	112	78	79	65	654	11
43	113	80	81	126	497	8
44	114	82	83	105	357	6
45	115	84	85	44	319	5
46	116	86	87	41	178	3
47	117	88	84	39	178	3
48	118	89	90	140	119	2
49	119	91	92	91	178	3
50	120	93	94	51	178	3
51	121	95	96	37	238	4
52	126	97	98	31	0	0
53	135	99	100	114	119	2
54	138	101	102	20	0	0
55	140	103	104	104	476	8
56	149	105	106	11	0	0
57	150	106	107	103	476	8
58	151	108	109	1363	0	0
59	155	110	111	185	51	1
60	161	112	113	695	0	0
61	162	114	112	79	51	1
62	163	115	116	81	297	5
63	164	117	118	38	238	4
64	165	119	120	37	119	2
65	166	120	121	15	0	0
66	170	122	123	40	59	1
67	171	123	124	39	357	6
68	172	125	126	88	416	7
69	173	126	127	14	59	1
70	181	128	129	39	102	1
71	185	130	131	38	59	1
72	188	132	133	661	0	0
73	190	135	136	615	51	1
74	191	137	138	71	0	0
75	192	138	139	79	0	0
76	193	140	141	74	51	1
77	194	142	143	301	51	1
78	196	144	145	81	40	1
79	197	145	146	44	0	0
80	198	146	147	15	0	0
81	199	148	149	102	110	3
82	200	149	150	48	40	1
83	201	151	152	132	0	0
84	202	153	129	57	0	0
85	203	129	154	142	59	1
86	204	153	155	25	0	0
87	207	158	159	13	0	0
88	208	159	156	141	119	2
89	209	160	161	156	59	1
90	210	162	163	185	0	0
91	211	163	160	149	0	0
92	213	165	166	22	0	0
93	214	166	167	91	0	0
94	215	168	169	424	0	0
95	219	171	172	31	59	1
96	220	171	173	42	59	1
97	221	174	175	56	59	1
98	226	179	180	28	81	1
99	227	179	181	33	59	1
100	228	182	183	72	59	1
101	229	184	185	198	297	5
102	230	185	186	187	0	0
103	235	188	189	77	0	0
104	236	189	190	85	119	2
105	237	191	188	19	0	0
106	244	192	193	50	0	0
107	245	194	195	4	0	0
108	246	196	197	86	140	2
109	247	196	152	14	0	0
110	248	198	199	91	119	2
111	252	201	200	52	29	1
112	255	203	204	76	59	1
113	256	204	205	73	59	1
114	257	204	206	15	119	2
115	258	207	208	83	119	2
116	259	207	209	24	59	1
117	262	211	212	194	40	1
118	263	213	214	11	0	0
119	264	214	215	75	178	3
120	265	215	216	76	0	0
121	266	216	217	16	0	0
122	267	218	215	65	59	1
123	268	219	220	48	0	0
124	269	220	221	59	59	1
125	270	221	222	57	59	1
126	271	217	223	71	88	2
127	272	216	224	80	221	3
128	279	227	228	105	102	1
129	280	227	229	11	0	0
130	282	230	231	39	40	1
131	285	233	234	280	0	0
132	286	235	229	86	51	1
133	287	229	234	161	0	0
134	288	236	237	132	182	4
135	289	230	238	89	0	0
136	290	238	239	58	51	1
137	292	240	241	100	0	0
138	293	242	243	118	0	0
139	294	244	245	45	119	2
140	295	245	246	89	0	0
141	296	247	248	51	0	0
142	297	248	249	83	0	0
143	299	248	250	119	59	1
144	314	253	254	464	0	0
145	316	255	256	19	59	1
146	317	257	258	28	0	0
147	318	259	260	29	0	0
148	319	261	262	80	119	2
149	320	262	263	27	0	0
150	322	264	265	42	0	0
151	323	265	266	112	178	3
152	325	267	268	55	59	1
153	329	270	271	72	59	1
154	331	273	243	8	0	0
155	333	274	275	145	51	1
156	334	276	277	426	0	0
157	342	278	279	86	119	2
158	343	280	281	83	59	1
159	346	282	283	90	59	1
160	353	285	286	54	238	4
161	354	287	288	90	357	6
162	355	289	290	48	357	6
163	362	295	296	89	51	1
164	363	297	295	76	0	0
165	365	298	299	73	0	0
166	366	300	301	117	51	1
167	371	302	303	198	51	1
168	372	304	305	209	0	0
169	376	306	307	91	0	0
170	381	294	291	77	51	1
171	387	309	307	122	51	1
172	388	301	306	8	0	0
173	389	306	251	147	153	3
174	390	307	251	164	102	2
175	398	311	310	54	51	1
176	416	312	305	161	51	1
177	417	313	314	114	85	1
178	435	315	316	838	40	1
179	436	316	317	646	0	0
180	439	318	319	38	0	0
181	440	319	320	38	0	0
182	441	320	321	58	59	1
183	442	322	323	15	0	0
184	443	324	325	64	238	4
185	444	325	249	2	0	0
186	446	326	327	68	119	2
187	449	323	329	33	59	1
188	457	330	331	79	59	1
189	458	332	333	32	0	0
190	460	334	335	126	51	1
191	462	336	337	60	178	3
192	463	336	338	7	0	0
193	464	338	339	53	119	2
194	465	338	340	38	0	0
195	466	341	336	74	119	2
196	467	341	342	100	476	8
197	469	343	344	38	0	0
198	470	344	345	122	0	0
199	471	345	346	227	0	0
200	472	346	347	199	0	0
201	475	349	350	84	51	1
202	476	351	350	133	244	5
203	479	353	354	53	102	2
204	480	355	356	86	0	0
205	481	357	358	198	0	0
206	483	359	358	165	0	0
207	485	360	361	339	0	0
208	486	286	362	44	178	3
209	487	363	364	80	416	7
210	488	365	366	8	0	0
211	489	367	368	25	178	3
212	490	366	367	74	357	6
213	492	369	370	66	0	0
214	496	371	372	50	416	7
215	497	373	374	12	119	2
216	498	374	375	12	0	0
217	499	376	377	13	119	2
218	501	378	379	74	0	0
219	502	380	381	125	51	1
220	503	381	382	19	0	0
221	504	382	383	160	102	2
222	505	383	384	262	51	1
223	506	343	379	649	51	1
224	509	385	386	16	0	0
225	510	387	386	16	0	0
226	511	388	389	233	0	0
227	512	390	391	48	59	1
228	513	392	388	181	0	0
229	514	393	394	503	102	2
230	515	395	396	111	0	0
231	518	397	398	807	0	0
232	519	398	399	30	29	1
233	520	399	400	52	51	1
234	521	401	402	315	0	0
235	522	403	401	95	0	0
236	523	404	405	84	0	0
237	524	406	407	90	51	1
238	529	410	411	717	51	1
239	533	394	383	890	0	0
240	534	412	413	72	204	4
241	535	414	415	66	255	5
242	536	416	417	74	204	4
243	537	384	395	859	51	1
244	538	418	396	259	204	4
245	539	396	419	211	29	1
246	540	420	413	40	0	0
247	541	413	415	79	255	5
248	542	415	417	65	51	1
249	545	404	422	121	40	1
250	546	423	424	194	0	0
251	547	424	425	94	0	0
252	548	425	426	128	182	4
253	549	425	427	43	102	2
254	551	428	429	345	0	0
255	552	430	353	20	0	0
256	554	431	432	121	510	9
257	555	428	433	434	51	1
258	556	434	433	61	0	0
259	557	435	436	135	204	4
260	558	436	437	183	510	10
261	559	436	431	96	102	2
262	560	431	438	107	357	7
263	563	439	440	353	51	1
264	566	442	443	594	0	0
265	567	444	445	62	102	2
266	568	446	447	704	0	0
267	569	448	449	1722	0	0
268	570	435	450	108	102	2
269	572	452	441	650	0	0
270	573	452	451	76	0	0
271	575	442	453	111	0	0
272	576	454	455	404	51	1
273	577	456	457	58	59	1
274	579	457	458	271	0	0
275	586	459	460	53	357	6
276	589	12	461	58	0	0
277	590	462	463	114	595	10
278	591	463	464	88	378	6
279	592	465	466	78	119	2
280	593	467	468	28	0	0
281	595	469	470	19	59	1
282	597	471	472	65	0	0
283	599	473	474	39	59	1
284	600	474	475	81	0	0
285	601	476	477	39	51	1
286	602	477	478	56	306	6
287	605	479	480	178	1054	17
288	608	481	482	64	467	6
289	609	483	482	44	102	1
290	611	484	485	76	119	2
291	616	486	487	9	102	1
292	624	488	489	50	238	4
293	625	490	491	111	676	11
294	626	491	492	6	59	1
295	627	493	494	304	0	0
296	628	495	496	235	952	16
297	629	497	498	45	0	0
298	630	498	499	40	59	1
299	631	500	501	110	51	1
300	633	502	503	86	297	5
301	634	503	504	63	119	2
302	635	505	506	4	0	0
303	636	506	507	87	476	8
304	637	508	509	31	0	0
305	642	511	512	93	0	0
306	643	513	358	50	59	1
307	645	514	515	121	178	3
308	646	516	514	142	0	0
309	648	517	518	19	51	1
310	649	518	519	116	91	2
311	650	519	520	106	0	0
312	652	521	522	718	51	1
313	654	523	524	518	0	0
314	655	525	526	110	595	10
315	656	527	528	75	357	6
316	657	528	529	104	297	5
317	658	529	530	45	81	1
318	659	531	532	83	416	7
319	660	533	534	64	357	6
320	661	535	536	42	119	2
321	663	471	537	64	0	0
322	664	319	538	88	319	5
