ProblemType:	CARP
NumberNodes:	1743
NumberEdges:	2296
DepotNodeNumber:	1290
NumberOfFractions:	1
NumberOfIntervalsForFraction	Paper	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	9	3	4	41	255	1
1	37	7	8	98	0	0
2	67	15	16	58	0	0
3	68	16	17	27	765	3
4	73	18	19	8	0	0
5	74	20	21	81	0	0
6	76	21	22	50	0	0
7	99	23	24	267	0	0
8	103	27	28	128	102	1
9	104	28	29	54	204	2
10	137	30	31	388	0	0
11	138	32	33	22	510	2
12	146	34	35	65	255	1
13	154	36	37	39	510	2
14	155	38	39	10	0	0
15	156	39	40	37	765	3
16	166	42	43	98	102	1
17	167	43	44	19	0	0
18	249	57	58	199	0	0
19	250	53	59	1009	0	0
20	251	59	60	488	0	0
21	255	52	60	729	0	0
22	256	62	63	966	0	0
23	292	71	72	77	1020	4
24	293	72	73	36	0	0
25	302	38	76	64	102	1
26	303	77	78	15	0	0
27	305	33	79	48	510	2
28	306	79	80	24	0	0
29	311	82	83	226	0	0
30	312	83	84	172	510	1
31	318	86	87	76	765	3
32	319	88	89	18	204	2
33	327	90	91	9	765	3
34	329	90	92	39	0	0
35	338	76	94	17	255	1
36	339	94	36	54	510	2
37	342	95	96	101	0	0
38	343	97	98	83	0	0
39	349	100	101	45	0	0
40	355	102	103	55	0	0
41	417	105	106	298	59	1
42	430	107	108	160	0	0
43	444	112	113	172	0	0
44	445	114	115	131	765	3
45	452	118	119	23	510	2
46	454	120	121	22	0	0
47	478	125	126	74	0	0
48	480	127	128	17	0	0
49	481	128	129	92	255	1
50	507	131	132	40	255	1
51	509	133	134	32	0	0
52	554	137	138	48	0	0
53	573	141	142	33	0	0
54	574	142	143	27	0	0
55	578	145	146	77	510	2
56	579	146	147	47	0	0
57	605	10	152	489	204	2
58	642	153	154	147	102	1
59	645	19	155	135	255	1
60	657	157	158	23	510	2
61	664	160	161	41	0	0
62	665	161	162	39	102	1
63	667	163	164	63	1020	4
64	672	165	166	249	102	1
65	689	167	168	66	0	0
66	691	169	167	253	102	1
67	709	171	172	255	0	0
68	724	174	175	51	102	1
69	725	175	176	46	204	2
70	730	177	178	81	0	0
71	745	179	180	71	102	1
72	747	181	182	120	0	0
73	748	183	184	132	0	0
74	749	185	183	35	510	2
75	756	13	187	112	102	1
76	778	190	191	3	765	3
77	779	191	192	140	0	0
78	781	193	194	567	0	0
79	784	195	196	627	0	0
80	905	209	210	44	255	1
81	921	213	166	233	0	0
82	973	124	226	153	255	1
83	1014	227	120	112	255	1
84	1015	228	229	77	102	1
85	1071	222	233	35	255	1
86	1072	233	234	9	0	0
87	1075	235	236	256	0	0
88	1101	243	199	147	0	0
89	1106	244	245	34	0	0
90	1107	245	246	120	204	2
91	1136	249	250	44	1122	5
92	1161	52	251	557	0	0
93	1170	252	59	1204	0	0
94	1200	254	127	19	0	0
95	1272	256	257	79	0	0
96	1273	127	99	27	0	0
97	1274	258	259	1466	0	0
98	1275	219	260	555	0	0
99	1276	260	261	667	0	0
100	1277	219	262	725	0	0
101	1286	264	265	195	102	1
102	1290	266	26	737	0	0
103	1293	267	268	104	0	0
104	1295	259	129	1247	0	0
105	1297	269	270	321	0	0
106	1298	270	271	192	0	0
107	1300	271	272	9	0	0
108	1301	272	268	69	0	0
109	1308	74	275	247	0	0
110	1310	276	267	44	0	0
111	1311	267	272	60	0	0
112	1314	271	260	2044	0	0
113	1316	277	261	1222	0	0
114	1321	278	279	311	0	0
115	1322	280	261	2414	0	0
116	1335	281	282	489	0	0
117	1343	283	284	305	102	1
118	1345	277	285	249	0	0
119	1349	285	286	275	0	0
120	1353	287	288	83	357	2
121	1355	286	283	162	0	0
122	1382	289	290	628	0	0
123	1383	289	291	501	0	0
124	1438	180	294	18	255	1
125	1442	295	296	690	102	1
126	1460	247	297	1493	0	0
127	1487	301	302	52	0	0
128	1489	303	304	64	255	1
129	1492	305	306	232	0	0
130	1493	307	308	445	0	0
131	1511	298	74	237	0	0
132	1531	312	313	323	0	0
133	1538	314	315	172	0	0
134	1540	316	314	172	0	0
135	1546	317	318	17	510	2
136	1547	315	319	173	0	0
137	1569	322	323	1362	0	0
138	1570	193	324	1564	0	0
139	1578	325	326	1617	0	0
140	1584	327	328	68	0	0
141	1590	329	196	145	0	0
142	1591	196	330	641	0	0
143	1637	332	213	212	102	1
144	1666	338	339	750	0	0
145	1667	340	330	577	0	0
146	1668	330	256	201	0	0
147	1669	296	341	1232	0	0
