ProblemType:	CARP
NumberNodes:	942
NumberEdges:	1263
DepotNodeNumber:	209
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	211	0	1	164	0	0
1	306	2	3	51	0	0
2	314	4	5	95	0	0
3	333	6	7	88	0	0
4	335	8	9	152	1870	10
5	351	10	11	89	961	6
6	352	11	12	195	8645	20
7	353	13	14	152	3819	17
8	354	15	16	121	2584	9
9	355	17	13	106	4166	25
10	356	18	8	115	731	4
11	358	19	20	99	2661	14
12	359	21	22	88	1505	10
13	360	23	24	64	527	3
14	362	16	25	118	799	5
15	593	26	27	40	0	0
16	594	28	29	36	0	0
17	595	28	30	38	221	2
18	596	31	30	37	272	2
19	629	32	33	77	4080	6
20	645	34	35	98	272	2
21	646	36	37	7	0	0
22	647	38	39	221	0	0
23	648	36	39	156	340	1
24	650	40	37	155	0	0
25	651	41	42	15	4052	12
26	652	43	44	50	0	0
27	653	45	46	56	111	1
28	654	47	48	23	0	0
29	655	49	47	18	0	0
30	656	48	50	33	0	0
31	657	51	52	268	3826	38
32	658	53	54	78	4161	7
33	662	55	56	18	0	0
34	663	56	57	23	0	0
35	664	57	55	15	0	0
36	670	58	59	60	3488	17
37	671	60	61	94	0	0
38	674	62	63	39	1598	14
39	675	64	65	46	1326	12
40	676	66	67	351	5501	43
41	677	68	69	12	0	0
42	707	70	71	246	0	0
43	708	72	73	110	0	0
44	863	44	74	9	0	0
45	909	75	76	52	3519	9
46	910	76	77	27	0	0
47	1142	69	78	9	0	0
48	1143	79	68	10	0	0
49	1144	78	79	13	0	0
50	1166	80	81	136	3952	12
51	1167	82	83	23	2763	8
52	1168	84	85	37	4089	10
53	1169	86	87	39	884	2
54	1208	88	14	8	0	0
55	1209	89	15	6	0	0
56	1210	14	89	12	0	0
57	1211	15	88	10	0	0
58	1220	90	91	175	16146	78
59	1221	90	92	102	2585	16
60	1222	93	90	95	10906	19
61	1223	94	95	113	3179	16
62	1224	96	94	34	986	8
63	1225	97	98	66	2040	10
64	1226	99	98	95	3665	18
65	1227	98	100	68	2890	5
66	1347	101	102	92	4100	18
67	1352	103	104	42	0	0
68	1361	106	107	231	4178	58
69	1410	108	109	22	0	0
70	1411	110	111	21	0	0
71	1428	112	113	159	0	0
72	1429	114	115	23	663	3
73	1430	116	117	165	5925	18
74	1431	118	119	114	2797	15
75	1432	120	121	112	1343	9
76	1433	121	122	106	1088	6
77	1434	123	116	213	3630	66
78	1435	117	115	86	3171	11
79	1436	114	124	91	3681	10
80	1437	122	125	41	706	3
81	1438	126	127	83	2525	12
82	1439	125	126	30	162	1
83	1445	129	130	62	3400	5
84	1446	131	132	63	0	0
85	1447	133	131	39	3865	8
86	1448	134	135	94	3940	25
87	1449	136	135	112	5705	39
88	1450	135	137	117	4635	12
89	1451	66	129	67	663	6
90	1452	138	139	58	0	0
91	1453	140	141	61	1650	7
92	1454	103	140	72	3910	29
93	1455	142	140	53	3506	8
94	1456	142	143	122	3950	15
95	1457	144	136	80	4030	35
96	1458	145	146	26	323	2
97	1459	147	148	60	510	1
98	1460	123	147	42	111	1
99	1461	92	145	142	5514	47
100	1462	149	92	73	1301	10
101	1463	145	150	74	1080	8
102	1464	91	146	78	969	6
103	1465	151	152	14	0	0
104	1466	153	154	68	3655	9
105	1467	155	156	46	4134	11
106	1468	157	158	75	4826	13
107	1469	159	160	197	7378	3
108	1764	161	162	9	0	0
109	1765	162	163	75	2040	4
110	1768	163	164	14	0	0
111	1792	165	18	96	0	0
112	1793	6	166	90	1547	5
113	1794	167	168	48	340	1
114	1795	169	170	115	2720	4
115	1796	170	168	42	0	0
116	1797	171	23	62	544	2
