ProblemType:	CARP
NumberNodes:	9957
NumberEdges:	11492
DepotNodeNumber:	6273
NumberOfFractions:	1
NumberOfIntervalsForFraction	Paper	1	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0
START
0	0	0	1	90	92	3
1	1	0	2	124	97	4
2	2	3	4	113	323	4
3	3	5	6	31	81	1
4	4	7	5	93	426	9
5	6	8	9	50	97	4
6	7	3	10	99	11	2
7	8	11	12	66	248	4
8	9	13	14	120	576	9
9	10	15	16	94	259	6
10	12	17	18	108	339	7
11	13	19	20	59	242	3
12	14	21	22	55	71	13
13	15	23	24	143	0	0
14	16	25	0	97	334	6
15	17	26	25	100	242	3
16	18	1	26	99	248	4
17	19	1	27	41	27	5
18	20	28	29	52	0	0
19	21	30	31	554	81	1
20	22	32	33	79	248	4
21	23	34	35	9	0	0
22	24	36	37	139	303	14
23	25	38	32	126	453	14
24	26	39	34	59	0	0
25	27	40	41	55	248	4
26	28	42	43	161	754	14
27	29	44	45	164	534	15
28	30	46	47	51	161	2
29	31	48	47	97	426	9
30	32	49	48	25	11	2
31	33	50	49	54	86	2
32	34	51	52	62	81	1
33	35	52	53	7	0	0
34	36	53	54	51	5	1
35	37	54	55	75	86	2
36	38	56	57	139	222	13
37	39	58	59	102	356	10
38	40	60	61	96	420	8
39	41	62	63	29	86	2
40	42	64	65	27	0	0
41	43	66	64	141	668	12
42	44	57	67	83	205	10
43	45	59	68	123	356	10
44	46	61	69	135	453	14
45	47	70	71	143	540	16
46	48	63	72	47	81	1
47	49	72	73	51	86	2
48	50	59	57	72	81	1
49	51	73	74	23	81	1
50	52	75	30	361	5	1
51	53	76	77	190	562	20
52	54	78	79	35	0	0
53	55	80	78	36	5	1
54	57	83	84	51	189	7
55	58	85	86	32	935	3
56	59	87	88	16	11	2
57	60	89	90	74	86	2
58	61	91	92	37	172	4
59	62	93	94	10	0	0
60	63	95	96	379	253	5
61	64	94	90	203	5	1
62	67	98	99	79	5	1
63	69	101	102	37	81	1
64	70	102	103	58	97	4
65	71	101	104	37	86	2
66	72	105	106	50	248	4
67	73	107	108	43	248	4
68	74	109	110	36	248	4
69	75	109	111	79	205	10
70	76	109	112	71	86	2
71	77	113	114	21	81	1
72	78	115	113	34	242	3
73	79	116	115	66	242	3
74	80	117	118	24	334	6
75	81	118	119	21	0	0
76	82	120	115	110	328	5
77	83	121	122	66	81	1
78	84	123	124	43	0	0
79	85	125	126	43	81	1
80	86	127	126	11	5	1
81	87	126	128	25	172	4
82	88	125	129	24	172	4
83	89	130	131	44	114	7
84	92	132	133	168	517	12
85	93	134	135	38	167	3
86	94	135	136	9	161	2
87	96	113	139	240	183	6
88	97	140	139	17	0	0
89	98	141	142	48	81	1
90	99	143	142	32	242	3
91	100	142	144	6	0	0
92	101	144	145	42	11	2
93	102	144	146	30	86	2
94	103	146	147	44	172	4
95	104	145	148	24	92	3
96	105	149	150	84	22	4
97	106	151	152	54	97	4
98	107	151	153	52	172	4
99	108	154	151	35	86	2
100	109	154	155	49	178	5
101	110	156	157	29	114	7
102	111	158	159	32	92	3
103	112	160	104	56	81	1
104	113	141	160	8	0	0
105	114	146	161	22	97	4
106	115	102	162	47	172	4
107	116	163	83	51	16	3
108	117	164	165	4	5	1
109	118	166	165	64	5	1
110	119	164	167	108	172	4
111	120	15	167	102	11	2
112	122	168	169	188	0	0
113	123	169	170	100	172	4
114	124	171	163	51	0	0
115	125	172	173	115	363	7
116	127	174	175	164	609	15
117	128	175	45	43	0	0
118	129	176	177	30	0	0
119	130	178	179	31	0	0
120	131	180	181	183	626	18
121	132	182	183	80	167	3
122	133	184	185	165	609	15
123	134	186	177	165	378	14
124	135	176	187	233	0	0
125	136	188	189	53	44	8
126	137	190	183	26	86	2
127	138	191	192	48	0	0
128	139	193	178	146	523	13
129	140	194	195	165	604	14
130	141	196	185	16	0	0
